# Frequency	Amplitude
5.000000000000000000e+00	3.324732231243405491e+06
5.193679599768180388e+00	3.518151849695265293e+06
5.394861557009639874e+00	3.714500164042688906e+06
5.603836482442909883e+00	3.913149471117817331e+06
5.820906243860090257e+00	4.113467482147348113e+06
6.046384402179869610e+00	4.314805606101203710e+06
6.280596664391629780e+00	4.516530034287939779e+06
6.523881354044579695e+00	4.717990308016509749e+06
6.776589899961869889e+00	4.918558354662935250e+06
7.039087343885410242e+00	5.117639843965571374e+06
7.311752867784809595e+00	5.314650983282412402e+06
7.594980341592090234e+00	5.509038866600742564e+06
7.889178892153450029e+00	5.700284268785082735e+06
8.194773494219820265e+00	5.887915263373820111e+06
8.512205584330100550e+00	6.071498277871975675e+06
8.841933698473610548e+00	6.250643237571217120e+06
9.184434134453040244e+00	6.425007270684616640e+06
9.540201639904660524e+00	6.594293595983618870e+06
9.909750126969550266e+00	6.758254134574351832e+06
1.029361341464839974e+01	6.916680098436005414e+06
1.069234599991190038e+01	7.069415359336577356e+06
1.110652385868099934e+01	7.216341627421045676e+06
1.153674527783410042e+01	7.357382374341934919e+06
1.198363171944169991e+01	7.492499694437697530e+06
1.244782871847990080e+01	7.621690904517000541e+06
1.293000681531549922e+01	7.744983477818833664e+06
1.343086252431350047e+01	7.862436429665136151e+06
1.395111933996370013e+01	7.974132384749151766e+06
1.449152878198010086e+01	8.080178172590158880e+06
1.505287148088470062e+01	8.180699519207634963e+06
1.563595830564059952e+01	8.275838405236450024e+06
1.624163153496629874e+01	8.365750618612108752e+06
1.687076607402120132e+01	8.450602978866958991e+06
1.752427071822100046e+01	8.530570470790615305e+06
1.820308946600789923e+01	8.605834426375208423e+06
1.890820288247210001e+01	8.676579828749090433e+06
1.964062951579460048e+01	8.742993753826810047e+06
2.040142736855749916e+01	8.805264132527664304e+06
2.119169542604580059e+01	8.863577118189902976e+06
2.201257524375100161e+01	8.918117001405647025e+06
2.286525259636630025e+01	8.969064294745979831e+06
2.375095919065880068e+01	9.016595193933902308e+06
2.467097444469030165e+01	9.060880519438287243e+06
2.562662733595799835e+01	9.102085258147554472e+06
2.661929832112539884e+01	9.140367973163276911e+06
2.765042133011440129e+01	9.175880474662877619e+06
2.872148583744209915e+01	9.208767336334412917e+06
2.983403901379070078e+01	9.239165841736977920e+06
3.098968796092259836e+01	9.267205760579645634e+06
3.219010203316499741e+01	9.293009268689701334e+06
3.343701524882109766e+01	9.316690939157517627e+06
3.473222879498800353e+01	9.338357745136359707e+06
3.607761362940200200e+01	9.358109092957179993e+06
3.747511318306870010e+01	9.376036928898081183e+06
3.892674616758159800e+01	9.392225806717930362e+06
4.043460949118450287e+01	9.406753019610216841e+06
4.200088128779160002e+01	9.419688709632081911e+06
4.362782406333759866e+01	9.431095999397967011e+06
4.531778796400639919e+01	9.441031120073456317e+06
4.707321417105600148e+01	9.449543535770576447e+06
4.889663842714639941e+01	9.456676066041689366e+06
5.079069469926230340e+01	9.462465000370105729e+06
5.275811898352250040e+01	9.466940204393973574e+06
5.480175325737260295e+01	9.470125216958561912e+06
5.692454958486919736e+01	9.472037335704559460e+06
5.912957438098540308e+01	9.472687692944876850e+06
6.142001284109989712e+01	9.472081318619532511e+06
6.379917354206399693e+01	9.470217194388419390e+06
6.627049322149760258e+01	9.467088295989198610e+06
6.883754174221350297e+01	9.462681627158699557e+06
7.150402724894499329e+01	9.456978245427805930e+06
7.427380152482270148e+01	9.449953281478187069e+06
7.715086555534060153e+01	9.441575954752322286e+06
8.013937530784599517e+01	9.431809587412176654e+06
8.324364773490509606e+01	9.420611619133859873e+06
8.646816701021309370e+01	9.407933627261022106e+06
8.981759100605839308e+01	9.393721355027632788e+06
9.329675802169749943e+01	9.377914752753030509e+06
9.691069377235970705e+01	9.360448036462087184e+06
1.006646186489769974e+02	9.341249769885625690e+06
1.045639552591269990e+02	9.320242974777242169e+06
1.086143362600810036e+02	9.297345276577476412e+06
1.128216124952679991e+02	9.272469091554557905e+06
1.171918614459249994e+02	9.245521863339753821e+06
1.217313960101119932e+02	9.216406355453517288e+06
1.264467736218039988e+02	9.185021008037021384e+06
1.313448057232139945e+02	9.151260366547781974e+06
1.364325676040340056e+02	9.115015589682303369e+06
1.417174086218130071e+02	9.076175043968318030e+06
1.472069628182250085e+02	9.034624992068897933e+06
1.529091599465689910e+02	8.990250379917003214e+06
1.588322369264379859e+02	8.942935727722894400e+06
1.649847497420770139e+02	8.892566127764293924e+06
1.713755858016569960e+02	8.839028349358046427e+06
1.780139767752770013e+02	8.782212049703123048e+06
1.849095119302729984e+02	8.722011086142541841e+06
1.920721519830700004e+02	8.658324921825649217e+06
1.995122434876089983e+02	8.591060113131316379e+06
2.072405337811150048e+02	8.520131863538332283e+06
2.152681865088090092e+02	8.445465624697055668e+06
2.236067977499789947e+02	8.366998719987802207e+06
2.322684127687109878e+02	8.284681963989811949e+06
2.412655434134780137e+02	8.198481245478706434e+06
2.506111861907129992e+02	8.108379040038855746e+06
2.603188410384819917e+02	8.014375815179896541e+06
2.704025308273730275e+02	7.916491289719721302e+06
2.808768216167620153e+02	7.814765509652209468e+06
2.917568436957409972e+02	7.709259702934862114e+06
3.030583134390649889e+02	7.600056879703106359e+06
3.147975560097240191e+02	7.487262147836079821e+06
3.269915289409179877e+02	7.371002719846609980e+06
3.396578466314899742e+02	7.251427594701408409e+06
3.528148057902320147e+02	7.128706905780670233e+06
3.664814118657799895e+02	7.003030935784561560e+06
3.806774065003090186e+02	6.874608808976866305e+06
3.954232960466620170e+02	6.743666880182366818e+06
4.107403811901290283e+02	6.610446849776712246e+06
4.266507877176359784e+02	6.475203641463969834e+06
4.431774984788219740e+02	6.338203086859059520e+06
4.603443865851500050e+02	6.199719465987489559e+06
4.781762498950189979e+02	6.060032956659857184e+06
4.966988468346820014e+02	5.919427046208084561e+06
5.159389336067340537e+02	5.778185959572969936e+06
5.359243028398890374e+02	5.636592154517987743e+06
5.566838237359030472e+02	5.494923930968720466e+06
5.782474837716209777e+02	5.353453195681700483e+06
6.006464320163900084e+02	5.212443417256138287e+06
6.239130241274140189e+02	5.072147798650076613e+06
6.480808690880450058e+02	4.932807687174658291e+06
6.731848777565229511e+02	4.794651234101258218e+06
6.992613132952980095e+02	4.657892308788102120e+06
7.263478435537799669e+02	4.522729665606750175e+06
7.544835954801750404e+02	4.389346355946613476e+06
7.837092116410269682e+02	4.257909372740950435e+06
