# Frequency	Amplitude
5.000000000000000000e+00	2.581738835618118290e+06
5.193679599768180388e+00	2.693038583035669755e+06
5.394861557009639874e+00	2.802824518739026040e+06
5.603836482442909883e+00	2.910754782824462745e+06
5.820906243860090257e+00	3.016554179237542208e+06
6.046384402179869610e+00	3.119959641517040320e+06
6.280596664391629780e+00	3.220735669933957979e+06
6.523881354044579695e+00	3.318695106132326648e+06
6.776589899961869889e+00	3.413667642438529059e+06
7.039087343885410242e+00	3.505521514327376615e+06
7.311752867784809595e+00	3.594152142571276054e+06
7.594980341592090234e+00	3.679480789560252801e+06
7.889178892153450029e+00	3.761457013109636959e+06
8.194773494219820265e+00	3.840050610352176707e+06
8.512205584330100550e+00	3.915255814828942530e+06
8.841933698473610548e+00	3.987087353322062176e+06
9.184434134453040244e+00	4.055574075500056148e+06
9.540201639904660524e+00	4.120762123269609641e+06
9.909750126969550266e+00	4.182711807830927428e+06
1.029361341464839974e+01	4.241494676668066531e+06
1.069234599991190038e+01	4.297191554027066566e+06
1.110652385868099934e+01	4.349892896046827547e+06
1.153674527783410042e+01	4.399694297394136898e+06
1.198363171944169991e+01	4.446696844000390731e+06
1.244782871847990080e+01	4.491006293218553998e+06
1.293000681531549922e+01	4.532730027521657757e+06
1.343086252431350047e+01	4.571977640830640681e+06
1.395111933996370013e+01	4.608858873120673932e+06
1.449152878198010086e+01	4.643483471524496563e+06
1.505287148088470062e+01	4.675960075633794069e+06
1.563595830564059952e+01	4.706395680404085666e+06
1.624163153496629874e+01	4.734895213569784537e+06
1.687076607402120132e+01	4.761560819658810273e+06
1.752427071822100046e+01	4.786491886038380675e+06
1.820308946600789923e+01	4.809784333552457392e+06
1.890820288247210001e+01	4.831530767613981850e+06
1.964062951579460048e+01	4.851819994931811467e+06
2.040142736855749916e+01	4.870737196591428481e+06
2.119169542604580059e+01	4.888363627740208060e+06
2.201257524375100161e+01	4.904776727510252967e+06
2.286525259636630025e+01	4.920050062523769215e+06
2.375095919065880068e+01	4.934253455593446270e+06
2.467097444469030165e+01	4.947452863641897216e+06
2.562662733595799835e+01	4.959710622169959359e+06
2.661929832112539884e+01	4.971085472839422524e+06
2.765042133011440129e+01	4.981632644799337722e+06
2.872148583744209915e+01	4.991403997434427030e+06
2.983403901379070078e+01	5.000448129476376809e+06
3.098968796092259836e+01	5.008810497846293263e+06
3.219010203316499741e+01	5.016533543983437121e+06
3.343701524882109766e+01	5.023656814281127416e+06
3.473222879498800353e+01	5.030217086281324737e+06
3.607761362940200200e+01	5.036248486512398347e+06
3.747511318306870010e+01	5.041782611762424000e+06
3.892674616758159800e+01	5.046848636952833273e+06
4.043460949118450287e+01	5.051473428280978464e+06
4.200088128779160002e+01	5.055681644040878862e+06
4.362782406333759866e+01	5.059495833160192706e+06
4.531778796400639919e+01	5.062936527215308510e+06
4.707321417105600148e+01	5.066022325897431932e+06
4.889663842714639941e+01	5.068769976196131669e+06
5.079069469926230340e+01	5.071194445595712401e+06
5.275811898352250040e+01	5.073308988141862676e+06
5.480175325737260295e+01	5.075125204501359724e+06
5.692454958486919736e+01	5.076653095073701814e+06
5.912957438098540308e+01	5.077901106919437647e+06
6.142001284109989712e+01	5.078876173872506246e+06
6.379917354206399693e+01	5.079583750411186367e+06
6.627049322149760258e+01	5.080027839200521819e+06
6.883754174221350297e+01	5.080211012106810696e+06
7.150402724894499329e+01	5.080134425234147348e+06
7.427380152482270148e+01	5.079797827647430822e+06
7.715086555534060153e+01	5.079199564119307324e+06
8.013937530784599517e+01	5.078336571961063892e+06
8.324364773490509606e+01	5.077204371910453774e+06
8.646816701021309370e+01	5.075797053406135179e+06
8.981759100605839308e+01	5.074107254240789451e+06
9.329675802169749943e+01	5.072126134808927774e+06
9.691069377235970705e+01	5.069843347099772654e+06
1.006646186489769974e+02	5.067246998728096485e+06
1.045639552591269990e+02	5.064323612208809704e+06
1.086143362600810036e+02	5.061058079738156870e+06
1.128216124952679991e+02	5.057433613951977342e+06
1.171918614459249994e+02	5.053431695024350658e+06
1.217313960101119932e+02	5.049032014641937800e+06
1.264467736218039988e+02	5.044212417437857948e+06
1.313448057232139945e+02	5.038948840679833665e+06
1.364325676040340056e+02	5.033215252912539057e+06
1.417174086218130071e+02	5.026983592693112791e+06
1.472069628182250085e+02	5.020223708418685943e+06
1.529091599465689910e+02	5.012903300650214776e+06
1.588322369264379859e+02	5.004987868358137086e+06
1.649847497420770139e+02	4.996440660857556388e+06
1.713755858016569960e+02	4.987222637353671715e+06
1.780139767752770013e+02	4.977292436176253483e+06
1.849095119302729984e+02	4.966606356319682673e+06
1.920721519830700004e+02	4.955118353740103543e+06
1.995122434876089983e+02	4.942780055510282516e+06
2.072405337811150048e+02	4.929540794939644635e+06
2.152681865088090092e+02	4.915347671114987694e+06
2.236067977499789947e+02	4.900145636474980973e+06
2.322684127687109878e+02	4.883877616229299456e+06
